Account Number,Loyalty_Score,bonus_usage_score,Total_Score,Final_Score_Percentage,Customer_Tier,CUSTOMER_TYPE
1000045,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000046,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000047,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000048,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000049,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000050,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000051,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000052,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000053,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000054,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000055,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000056,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000057,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000058,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000059,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000060,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000061,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000062,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000063,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000064,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000065,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000066,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000067,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000068,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000069,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000070,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000071,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000072,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000073,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000074,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000075,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000076,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000077,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000078,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000079,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000080,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000081,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000082,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000083,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000084,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000085,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000086,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000087,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000088,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000089,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000090,20.0,15,35.0,87.5,Tier 1 Priority Service,Retail
1000091,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000092,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000093,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000094,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000095,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000096,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000097,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000098,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000099,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000100,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000101,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000102,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000103,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000104,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000105,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000106,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000107,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000108,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000109,10.0,20,30.0,75.0,Tier 2 Priority Service,Retail
1000110,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000111,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000112,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000113,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000114,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000115,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000116,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000117,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000118,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000119,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000120,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000121,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000122,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000123,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000124,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000125,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000126,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000127,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000128,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000129,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000130,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000131,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000132,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000133,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000134,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000135,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000136,20.0,20,40.0,100.0,Tier 1 Priority Service,Retail
1000137,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000138,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000139,5.0,10,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000140,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000141,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000142,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000143,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000144,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000145,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000146,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000147,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000148,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000149,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000150,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000151,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000152,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000153,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000154,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000155,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000156,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000157,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000158,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000159,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000160,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000161,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000162,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000163,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000164,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000165,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000166,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000167,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000168,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000169,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000170,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000171,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000172,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000173,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000174,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000175,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000176,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000177,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000178,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000179,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000180,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000181,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000182,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000183,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000184,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000185,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000186,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000187,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000188,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000189,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000190,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000191,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000192,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000193,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000194,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000195,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000196,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000197,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000198,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000199,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000200,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000201,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000202,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000203,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000204,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000205,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000206,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000207,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000208,10.0,15,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000209,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000210,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000211,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000212,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000213,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000214,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000215,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000216,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000217,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000218,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000219,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000220,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000221,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000222,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000223,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000224,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000225,5.0,10,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000226,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000227,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000228,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000229,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000230,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000231,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000232,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000233,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000234,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000235,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000236,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000237,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000238,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000239,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000240,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000241,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000242,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000243,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000244,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000245,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000246,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000247,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000248,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000249,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000250,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000251,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000252,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000253,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000254,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000255,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000256,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000257,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000258,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000259,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000260,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000261,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000262,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000263,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000264,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000265,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000266,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000267,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000268,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000269,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000270,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000271,5.0,15,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000272,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000273,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000274,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000275,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000276,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000277,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000278,15.0,10,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000279,10.0,5,15.0,37.5,Tier 4 Priority Service + Incentives,Retail
1000280,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000281,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000282,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000283,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000284,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000285,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000286,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000287,10.0,10,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000288,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000289,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000290,20.0,15,35.0,87.5,Tier 1 Priority Service,Retail
1000291,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000292,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000293,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000294,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000295,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000296,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000297,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000298,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000299,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000300,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000301,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000302,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000303,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000304,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000305,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000306,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000307,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000308,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000309,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000310,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000311,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000312,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000313,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000314,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000315,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000316,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000317,5.0,20,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000318,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000319,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000320,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000321,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000322,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000323,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000324,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000325,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000326,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000327,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000328,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000329,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000330,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000331,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000332,20.0,20,40.0,100.0,Tier 1 Priority Service,Retail
1000333,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000334,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000335,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000336,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000337,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000338,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000339,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000340,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000341,0.0,20,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000342,20.0,10,30.0,75.0,Tier 2 Priority Service,Retail
1000343,15.0,10,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000344,15.0,10,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000345,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000346,15.0,5,20.0,50.0,Tier 4 Priority Service + Incentives,Retail
1000347,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000348,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000349,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000350,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000351,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000352,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000353,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000354,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000355,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000356,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
1000357,20.0,1,21.0,52.5,Tier 4 Priority Service + Incentives,Retail
1000358,20.0,5,25.0,62.5,Tier 3 Priority Service + Incentives,Retail
